,class_name,f1_per_class,acc_per_class
0,Artibeus lituratus,0.8571428571428571,1.0
1,Bos taurus,0.6190476190476191,0.5
2,Canis lupus,0.7741935483870969,0.8
3,Capra hircus,0.7999999999999999,0.8571428571428571
4,Cerdocyon thous,0.967741935483871,1.0
5,Desmodus rotundus,0.8148148148148148,1.0
6,Eptesicus fuscus,0.9696969696969697,0.9411764705882353
7,Equus caballus,0.5925925925925926,0.7272727272727273
8,Felis catus,0.4800000000000001,0.6666666666666666
9,Homo sapiens,0.7777777777777777,0.7
10,Lasiurus borealis,1.0,1.0
11,Mephitis mephitis,0.9032258064516129,0.9333333333333333
12,Nyctereutes procyonoides,0.8421052631578948,0.7272727272727273
13,Procyon lotor,0.8571428571428572,0.7894736842105263
14,Tadarida brasiliensis,1.0,1.0
15,Vulpes lagopus,0.9696969696969697,0.9411764705882353
16,Vulpes vulpes,0.787878787878788,0.7647058823529411
